id,title,summary
1,集成对抗性机器学习及其应用研究,"随着深度学习模型在人脸识别、安防监控、无人驾驶等安全敏感性任务中的广泛应用,围绕深度模型展开的攻防逐渐成为信息安全领域研究的热点。黑盒攻击作为现实世界中最为常用的攻击类型,在不知道模型具体结构、参数、使用的数据集等情况下,攻击者通过查询目标系统,充分利用反馈的输入输出对信息来训练替代模型并为之生成对抗样本,然后利用对抗样本的迁移性去攻击目标系统。本文提出了两类基于集成的黑盒攻击策略来阐述深度学习模型脆弱性的存在并有效证明了对抗样本的迁移性与集成替代模型差异性之间的关系。正因为对抗样本的存在,合理分析深度学习模型的脆弱性并设计出更加鲁棒的模型来对抗黑盒攻击成为迫切需要。传统基于单模型的对抗性训练防御算法在抵御黑盒攻击时性能十分有限,而基于多模型的集成对抗性训练却难以有效抵御强迁移性的对抗样本。为此,在原生的集成对抗性训练方法中融入对抗样本强度搜索策略,选出较优的对抗样本强度进行批量混合对抗性训练,并采用量化输入机制降低对抗样本空间维度,减缓对抗样本迁移性,真正实现不损失模型在测试集上精度的同时,保证抵御黑盒攻击的能力。本文在交通标识识别应用中验证了集成对抗性黑盒攻击策略、批量混合对抗性训练的有效性。另外,为了加快对抗样本的生成速率和集成对抗性训练过程,还尝试使用分布式框架实现深度神经网络的分布式训练。"
2,基于深度学习的遥感图像分类研究,"遥感图像数据的获取与处理已进入了大数据应用时代,准确地从不同类型数据中获取有用信息是遥感大数据处理及应用的核心内容。其中,遥感图像的分类与识别是其重要的应用领域。传统的遥感图像分类技术已无法胜任遥感大数据处理的新要求和任务。近年来发展的深度学习技术,在图像模式识别中获得了成功的应用,尤其在人机大赛中取得了佳绩。本文为解决遥感图像大数据的分类和应用问题,利用深度学习中的全卷积密集卷积网络(FC-DenseNet)以及基于空洞卷积(AC)、空洞空间金字塔池化(ASPP)和条件随机场(CRF)技术的DeepLab系统及改进的DeepLabV3模型对遥感图像分类问题展开了研究,并提出了基于梯度优化理论的FC-DenseNet和DeepLabV3两个模型。本文主要工作和内容如下:(1)建立适用于深度卷积神经网络分类训练的舰船遥感图像数据集,为深度学习模型的训练、测试和预测提供数据。同时,针对某些地物目标或区域数据量较少的问题,提出用数据增强的方式对少量数据进行扩充处理,使数据集达到满足深度卷积网络模型训练的要求。(2)对FC-DenseNet、DeepLabV3和DeepLabV3+等三个深度卷积分类模型进行了深入探讨和分析,设计了舰船遥感图像、INRIA航空遥感图像和城市遥感图像的分类实验。研究结果表明,深度卷积学习方法可以实现对遥感图像进行有效分类,并能获得较好的实验效果。(3)通过梯度下降优化算法提出了两种改进的优化模型,即优化的FC-DenseNet模型和DeepLabV3模型,并用前面建立的舰船遥感数据集和INRIA航空遥感图像数据集进行了测试实验。实验结果表明,在不同的梯度下降优化算法中,均方根反向传播(RMSProp)优化算法比自适应矩估计(Adam)算法、自适应学习速率(AdaDelta)算法和自适应梯度(AdaGrad)算法好,具有更好的鲁棒性和收敛性。"
3,基于机器视觉的黄瓜叶部病害程度检测系统研究,"植物病害是危害蔬菜品质的主要因素之一,很大程度上损害农民经济收入,黄瓜在其生长周期中极易受到病害威胁,大规模、高密度的种植方式给传统的病害防治措施带来了巨大挑战。传统的病害防治方法通过人眼观察或者侵染性实验,该方法具有效率低下、主观性强等缺点,并且过量地使用化学农药不仅会导致农药残留、植物抗药性的问题,同时对环境造成污染。机器视觉、人工智能等相关技术在农业领域被广泛应用,特别是在植物病害识别和果实品质检测等相关领域取得优异成果,故本文将不同病害程度的黄瓜叶片病害图像作为研究对象,利用机器视觉和深度学习等相关技术对黄瓜叶部病害程度分级识别方法进行研究,对提高农产品品质和保证农业生态环境的绿色、可持续发展具有重要意义。本论文针对自然背景下不同病害程度的3种黄瓜叶部主要病害类型的分级识别方法进行研究,主要包括以下内容:(1)对采集的不同病害程度的黄瓜叶片图像进行数据增强处理,将黄瓜叶片病害图像进行旋转、扭曲、镜像变换、添加噪声等多种几何变换方法并且不改变图像的类别和属性,扩充数据集样本,解决训练样本不足的问题,在训练中减少模型过拟合问题,并按照一定比例将创建的数据集划分为训练集和测试集。(2)为避免传统识别方法中复杂的图像预处理和人工设计特征过程,本文以VGG-16网络模型为基础构建一个改进的深度卷积神经网络(Convolutional Neural Networks,CNN)模型,该算法首先利用微型迁徙学习、带参数整流函数(PReLU)来构建深度卷积层,对不同尺寸的黄瓜叶片病害输入图像进行快速且稳定的特征提取;然后采用空间金字塔池化的方式实现固定大小的黄瓜病害特征图像的输出表示;最后替换全连接层中的参数以降低计算复杂度,通过Softmax实现黄瓜叶片病害程度识别。实验结果表明,本论文提出的网络模型具有较好的识别性能,对黄瓜叶部病害程度的分级识别率为87.24%。(3)针对CNN在训练过程中的过拟合问题,分析讨论了卷积核尺寸、梯度下降优化算法以及激活函数的参数选择对模型过拟合率的影响,并且调整网络模型中的参数进行实验对比,验证改进的深度CNN模型的图像分类识别性能。"
4,基于集成学习方法的药物—靶标相互作用预测及应用,"新药的研发过程往往周期长、耗资大且具有一定的随机性和盲目性。通常,一个新药从研发开始到成功上市平均耗时10-15年,平均耗费超过8亿美元。尽管药物开发的投资大,但产出并不理想。因此,加速创新药物的研发已成为全球的共识。作为药物研发的源头,药物-靶标相互作用的识别在药物发现过程中起着重要的作用。然而,传统的生物实验以及临床试验的方法不仅需要大量的人力、财力,同时还伴随着高的假阳性率和假阴性率。随着机器学习和生物信息学的快速发展,计算机辅助的药物-靶标相互作用预测方法已经成为一种快速、准确的药物靶标识别手段。本文采用基于集成学习的方法对药物-标相互作用进行预测研究,主要内容如下:(1)药物化合物和靶标蛋白序列的数值化表征。考虑到分子描述符可以根据药物的物理性质、原子数和化学键数这些指标将分子符号表示中编码的化学信息转换成有用的数值,从而可以区分不同的药物分子。因此,本文采用基于分子亚结构指纹的方式来表征药物化合物。为了尽可能多的包含靶标蛋白的生物进化信息,本文使用了位置特异性得分矩阵(Position-Specific Score Matrix,PSSM)来表示靶标蛋白序列。(2)对于数值化表征后的靶标蛋白评分矩阵,本文使用局部相位量化描述符和勒让德矩特征描述算法来客观、高效地抽取具有代表性的生物信息特征。从而获得药物与靶标蛋白的特征向量表示,为下一步药物-靶标相互作用的预测做准备。(3)基于集成学习的预测模型设计。本文采用了两种集成学习分类器,即旋转森林(Rotation Forest,RoF)和随机森林(Random forest,RF),通过分别与两种特征提取算法相结合来预测药物-靶标相互作用。最终,将所提出的模型应用于四个主流的金标准数据集,并与支持向量机分类器以及其他代表性的模型进行了对比。实验结果表明,本文提出的基于集成学习方法的预测模型可以有效地预测药物-靶标相互作用。"
5,基于稀疏表示的蛋白质相互作用预测及应用,"蛋白质作为生命体的基础物质之一,其功能发挥对于各种生命活动如新陈代谢、激素调节、细胞活动和酶的催化反应等都起到关键性的作用。因此,蛋白质相互作用研究不仅有利于了解生命运行机制,而且对于新药研发等方面都具有重要意义。然而,采用传统生物实验方法鉴定蛋白质之间的相互作用不仅成本高昂,而且还存在着较高的假阳性和假阴性率。随着信息技术的快速发展,采用智能计算的方法对蛋白质相互作用进行预测不仅速度快,而且准确率高,已成为预测蛋白质相互作用重要手段。本文的主要工作如下:(1)基于矩阵的特征提取方法选择。为了高效且全面地提取到蛋白质序列中重要的特征向量矩阵,本文分别使用了矩阵主成分分析和矩阵线性判别分析方法对经过数值化表示后的蛋白质序列信息进行特征提取。通过在H.pylori、S.cerevisiae和Human数据集上与其它特征提取方法的实验对比,证明了本文提出特征提取方法的有效性。(2)基于稀疏表示的预测模型设计。本文分别采用了稀疏表示模型和加权稀疏表示模型来实现蛋白质相互作用预测的功能。通过与支持向量机和其它模型的对比实验,发现基于稀疏表示的模型能够很好的与本文使用的特征提取方法相结合,并具有优秀的预测效果。(3)为了满足那些计算机编程能力较为薄弱的研究人员需求,本人利用MATLAB GUI技术设计开发了一套完整的基于稀疏表示的蛋白质相互作用预测系统供大家学习交流。"
6,基于改进模糊支持向量机的煤与瓦斯突出预测,"煤与瓦斯突出是在煤矿开采过程中发生的一种地质灾害,破坏性极强。如果能及时对突出做出准确地预测,可以在灾害发生前做出相应的防护措施,最大限度的保障井下工作者的生命安全。目前在煤与瓦斯突出预测方面应用最多的是支持向量机算法,具有较强的泛化能力。但是经过实际应用检验该算法仍然存在一些缺点:1.抗噪性不强,在预测过程中容易受到错误样本的误导做出错误的判断;2.受参数影响较大,盲目的选取参数会影响算法的分类效果。在突出影响因素选取方面,由于煤与瓦斯突出受多种因素共同影响且相互之间存在高度非线性关系,本文采用灰色关联度理论结合矿井突出实测数据进行计算从8种影响因素中选出5种作为主要影响因素,降低了之后预测的计算难度。在突出预测方法上面,针对以上两条支持向量机的缺点,本文提出了粒子群优化模糊支持向量机这种新型的煤与瓦斯突出预测方法。该方法首先通过模糊隶属度函数计算每个样本的模糊隶属度,降低噪声点对分类结果的影响;其次使用粒子群算法对模糊支持向量机进行参数寻优,虽然与其他常用的参数优化算法比如遗传算法、最小二乘法相比更为简洁,操作简便,但是粒子群算法仍存在容易陷入局部最优的缺点,本文中为解决这一问题对粒子群算法进行了改进:首先在粒子群算法中引入随迭代次数非线性减小的惯性权重提高算法的寻优能力,其次利用模拟退火算法使得粒子群算法中的粒子以一定的概率强行跳出局部最优陷阱。改进后的粒子群算法很大的提升了寻优效率,克服了传统分类模型中参数选取的盲目性。最后构建基于粒子群算法的模糊支持向量机预测模型,该模型首先通过对实测数据赋予相应的隶属度,减小错误样本对模型预测能力的影响;然后利用粒子群算法寻找最优参数,把参数对预测模型的影响降到最低。本文选择了粒子群优化支持向量机模型、模糊支持向量机模型、BP神经网络模型与本文模型在工作性能上进行比较,实验证明粒子群优化模糊支持向量机模型训练速度快,并且分类精度最高。利用MATLAB软件结合矿井实测突出数据对本文提出的改进的模糊支持向量机预测模型进行仿真,输出结果证明该算法相较于其他传统预测方法,训练速度最快,能够在更短的时间内对是否发生突出做出更精准的判断。该方法有效解决了传统预测方法中存在的抗噪性差、训练速度慢以及预测精度低等问题,具有较强的实用性。该论文有图19幅,表12个,参考文献86篇。"
7,考虑竞争和消费意图的电影首映日票房预测方法,"电影首映日票房影响着电影院线首映日后的排片计划,直接影响后续放映日票房,对总票房有重要影响。没有准确的首映日票房预测,电影院线难以对首映日合理排片,易于出现当日高空座率或座位不足,进而影响总票房。映前一周是首映日票房预测和依据预测结果排片的重要时点。因此,提出适合于映前一周的首映日票房预测方法具有重要现实意义。在预测变量类别少,可用数据不足的情况下进行预测是映前首映日票房预测的难点。为实现对首映日票房预测,需要对映前电影票房影响因素和适用算法的研究。首映日票房预测是对电影票房预测方法和需求预测方法的丰富,具有一定理论意义。针对映前一周电影首映日票房预测做了以下3方面研究。首先提出映前电影竞争和消费意图的量化方法。与映后电影票房预测不同,电影映前未产生票房实际数据,也没有观众口碑信息。这两类数据是目前映后电影票房预测方法中最常用数据。因此,映前票房预测可使用的信息类别远少于映后预测。为解决这一问题,考虑将映前可获取的竞争和消费意图信息纳入预测变量。从档期内高票房电影和同类型电影出发,量化上映电影竞争;从社交网络用户显式和隐式消费意图出发,量化潜在观众消费意图。其次,提出一种考虑竞争和消费意图的结合Lasso和XGBoost算法的票房预测方法。在上述研究结果基础上结合电影基本信息,建立了映前电影首映日票房预测变量集。随后在票房预测中引入结合Lasso和XGBoost算法的票房预测算法。充分考虑电影竞争和消费意图带来预测变量增多,易产生过拟合和预测精度下降问题。为解决该问题,在变量选取阶段应用Adaptive-Lasso算法进行特征抽取,缩减预测变量维度,降低训练时间。在预测阶段应用XGBoost算法,提高预测精度和预测稳定性。利用收集的10部电影数据检验,结果表明,在消费意图识别中使用SVM模型和经领域迁移训练后的CIMM模型对社交网络中存在的电影消费意图有较好的判别准确性;提出的结合Lasso和XGBoost的电影首映日票房预测方法与多元线性回归,支持向量回归等传统电影票房预测方法相比,有5%以上的预测精度优势,同时拥有更低的运算耗费;考虑电影竞争和消费意图后的预测准确性高于未考虑的情形。实验结果证明基于竞争和消费意图的电影首映日票房预测方法更适用于电影首映日票房预测。"
8,高校贫困生管理信息系统设计与研究,"教育精准扶贫是我国扶贫战略的重要组成部分,而针对高校学生的精准扶贫工作是国家教育精准扶贫的重要内容,倍受关注。然而,在高校教育精准扶贫工作中存在贫困学生数据信息量大、种类繁杂、扶贫业务人员数量有限等困难,因此,贫困学生信息准确采集与高效管理是高校教育精准扶贫工作顺利实施的基础。随着互联网与人工智能技术的发展,为了解决教育精准扶贫工作中遇到的众多困难时,结合机器学习算法的高校贫困生管理信息系统就成为是科学提高教育精准扶贫效果的重要手段。面向高校教育精准扶贫工作,本文基于Web技术与机器学习算法,设计了一个高校贫困生管理信息系统,通过数据模块与帮扶模块两大模块,实现了贫困生精确识别与扶贫信息高效管理。本文主要工作与创新点如下:在理论上,通过对现有贫困学生分类算法的研究,针对高校贫困学生的特征和高校学生管理特点,利用稀疏贝叶斯学习理论进一步提出概率判别分析,提出一种基于稀疏贝叶斯学习的贫困生识别算法,利用已有贫困学生信息数据训练模型,实现了对贫困学生识别的精准度。在技术上,通过分析高校教育精准扶贫业务工作的具体需求,采用了B/S系统架构、JAVA编程语言和MySQL数据库,融入了AJAX,HTML,JQUERY,ECHARTS及可视化技术,尝试设计基于Web的高校贫困生管理信息系统。该系统设计主要由数据模块与帮扶模块构成,其中数据模块根据功能不同又可以划分为贫困学生信息管理模块、扶贫项目信息管理模块与数据挖掘与分析模块三个子模块;而帮扶模块分为勤工助学模块、闲置共享模块、扶贫资助模块三个子模块,整个系统运行有效实现了数据管理与利用的一体。在应用上,通过对设计系统的实践应用,对于业务人员来说,信息管理较人工及软件辅助管理更便捷;对于学生来说,所判别的贫困生与学生实际情况符合度高。同时,系统的帮扶模块的设计,能够根据贫困生情况自主信息推送和资源共享。本系统的成功应用,能够为高校教育精准扶贫工作顺利实施奠定坚实的基础。"
9,基于数据挖掘的电力调度管理系统设计与实现,"目前因为我国的发展,电网规模也随之迅速扩大,与之同时,相应厂站也累积了大量的电力系统数据量,管理这些数据的难度也随之不断增加。一方面是因为电网结构比以往更加复杂,另一方面是因为供电质量要求的提高需要调度系统更加即时处理。与此同时,随着大数据时代的来临,合理分析使用电力数据,使之服务于电力生产与电力调度也成为了急需解决的课题。电力调度系统在电力的生产与传输这两部分里起到承接的作用,对电网高效率以及高质量的运行状态起到了关键性的作用。随着时代的前进,目前不仅需要对电厂、变电站和电力传输设备进行实时监控,同时也要能够对获得的监控数据进行分析。目前四川电网的调度系统还是半人工方式进行,这种传统落后的方式已经越来越不能适应目前的需求,严重限制了电力生产。本文针对目前这一问题,深入分析当前电力调度管理系统的现状和需求,开发一套同国调和网调联通,省级、地级和县级业务能够进行贯通,各业务系统信息共享的高效智能化电力调度管理系统,从而能够实现四川电网各部门数据的整合以及生产过程的流程化、规范化,确保电力生产和电网运行的健康、持续和稳定发展。为了解决电力系统中自动化程度不高、功能模块不统一以及缺乏对海量电力数据知识合理利用的问题,本文使用了一整套基于数据挖掘的电力调度管理系统,实现了电力调度系统中的几个功能,提高了电力调度系统的自动化水平,同时统合了电力调度系统的几个主要模块,并采用了基于支持向量机的回归算法,利用海量电力调度数据进行电力负荷预测,提高了电力调度的智能化水平。本文的工作第一部分对电力调度管理系统的历史发展和其中的问题进行了相关的介绍。根据过去电力调度系统的设计和当前的新的要求,对电力调度管理系统进行一个总体需求分析。下一部分则是使用到SOA技术来设计系统架构与数据平台,同时设计了主要功能模块调度管理、实时监控、生产分析、调度计划这些子系统。与此同时在电力调度机构里存储的大量电力相关的历史数据可以辅助电力调度系统进行相关决策,在本文中采用机器学习算法根据相关数据进行电力负荷预测。在整体系统的体系结构上,本文选用了面向服务的体系结构进行电力调度管理系统的框架进行设计。系统开发环境本文选用.NET Framework,数据库本文则选用了微软配套的SQL Server 2005,同时本文也采用了支持向量机的机器学习算法实现了智能化电力负荷预测。"
10,基于深度学习的牵引变电所视频图像多目标识别研究,"随着我国高速铁路技术的发展及其对自动化需求的提高,越来越多的牵引变电所向无人值守化发展,变电所中视频监控及巡检系统的智能化也变得尤为重要。所以本文的研究目的是为牵引变电所的远程智能巡检提供技术支持,主要研究如何实现牵引变电所视频图像的多目标识别。现有的牵引变电所监控图像的识别大都针对某一特定目标进行特征提取,无法完成多目标识别。并且不能同时完成鲁棒性好、速度快、准确性高的目标识别任务。本文正是针对这一任务展开的研究,不仅能做到鲁棒性好、速度快、准确性高的多目标识别任务,还能解决在很暗的状态下各色指示灯的颜色都发白,因而无法正确识别的问题。本文基于深度学习的理论,利用了深度神经网络的可迁移性,应用迁移学习的思想,克服了深度学习对数据和硬件的计算能力的依赖性。在计算能力和数据量都有限情况下的得到性能良好的可用于工程实践的牵引变电所视频图像的多目标识别模型。本文基于迁移学习的理论研究,利用SSD(Single Shot Mutibox Detector)和YOLOv2(You Only Look Once v2)模型,结合Python语言和TensorFlow平台,实现了识别准确度高、速度快和鲁棒性好的多目标识别方法。此模型迁移的方法针对牵引变电所视频图像中高压开关柜的仪表、分合指示灯状态以及高压隔离开关的分合状态都能进行自动识别。并且对像素图像的变化、外界环境和光线的变化和不同的摄像机角度都能准确、快速地完成识别功能。对变电所的无人值守化发展具有十分重要地工程意义。"
