id,title,key
1,集成对抗性机器学习及其应用研究,模型 对抗 攻击 训练 集成 深度 对抗性 样本 使用 策略
2,基于深度学习的遥感图像分类研究,分类 数据 卷积 图像 模型 优化 深度 学习 应用 算法
3,基于机器视觉的黄瓜叶部病害程度检测系统研究,黄瓜 图像 病害 模型 进行 深度 问题 方法 实验 参数
4,基于集成学习方法的药物—靶标相互作用预测及应用,药物 预测 生物 靶标 分子 学习 模型 信息 forest 算法
5,基于稀疏表示的蛋白质相互作用预测及应用,预测 方法 蛋白质 模型 特征提取 矩阵 相互作用 活动 生命 实验
6,基于改进模糊支持向量机的煤与瓦斯突出预测,算法 预测 模型 影响 粒子 突出 参数 机 错误 进行
7,考虑竞争和消费意图的电影首映日票房预测方法,预测 电影 票房 算法 意图 信息 变量 数据 排片 影响
8,高校贫困生管理信息系统设计与研究,模块 贫困学生 扶贫 贫困生 高校 系统 技术 数据 设计 算法
9,基于数据挖掘的电力调度管理系统设计与实现,电力 调度 进行 数据 系统 电网 相关 管理系统 生产 设计
10,基于深度学习的牵引变电所视频图像多目标识别研究,识别 研究 变电所 学习 图像 完成 目标 牵引 巡检 计算能力
11,基于Faster R-CNN的公路路面病害检测算法的研究,检测 公路 算法 进行 病害 方法 故障 问题 学习 减少
12,无人驾驶智能伦理决策研究,决策 无人驾驶 进行 研究 场景 伦理 困境 特征 道路交通 驾驶
13,基于Spark框架的并行林业文本分类算法的研究与实现,分类 林业 算法 文本 数据 并行 研究 进行 计算 信息
14,基于深度学习的植物知识图谱的构建,知识 构建 植物 实体 林业 图谱 研究 语义 信息 领域
15,基于自适应神经模糊推理系统的二氧化碳通量模拟研究,函数 anfis 模拟 rf bpnn 性能 优于 特征选择 平均值 碳
16,桉树立地质量评价与适宜性研究,桉树 研究 模型 评价 系统 算法 数据 进行 方程 构建
17,基于极限学习机的潜热通量插补研究和应用,进行 数据 学习机 通量 参数 研究 潜热 插补 机器 补全
18,神经网络模型在碳通量数据模拟的研究与应用,模型 神经网络 模拟 数据 通量 特征 技术 进行 一致性 因子
19,基于多源遥感与机器学习的密云水库水质参数反演研究,水质 密云水库 反演 算法 回归 regressor 水源地 方面 保护 浓度
20,校园网安全情报管理系统,实现 情报 校园网 安全 进行 服务器 网络安全 日志 信息 信息化
21,X教育公司大数据营销智能推荐系统的研究,用户 营销 官网 官 实现 课程 购课 系统 体验式 推荐
22,基于少数类过采样的马尾松毛虫发生面积等级预测算法及应用,预测 算法 虫害 样本 数据 提供 马尾松 工作 模型 特征
23,基于机器学习的漂浮大型藻类遥感研究,数据 藻类 暴发 算法 变化 海洋 精度 光谱 mlp 卫星
24,基于机器学习算法的日喀则地区泥石流易发性研究,泥石流 因子 进行 结果表明 方法 研究 日喀则地区 神经网络 分析 som
25,基于机器学习多维度的海面能见度研究,预测 能见度 海域 海面 空间 bp 进行 模型 实验 插值
26,基于近似牛顿法的分布式深度学习,训练 分布式 数据 网络 法 进行 优化 研究 问题 运行
27,基于深度学习算法的评论情感分析研究,学习 向量 分析 评论 神经网络 模型 特征 方法 文本 需要
28,量子特征选择与量子感知机算法研究,算法 量子 计算 学习 效率 机器 数据 经典 研究 特征选择
29,基于集成学习的不平衡数据分类算法应用研究,样本 算法 模型 进行 数据 分类 不 应用 预测 采样
30,语音情感的特征提取和分类方法研究,语音 情感 进行 识别 研究 方法 分类 模态 特征 性能
31,易跌倒步态特征及其预警技术研究,步态 进行 跌倒 实现 步行 采集 系统 运动 数据 研究
32,面向深度学习应用的可视化编程系统的研究与实现,算法 编程 可视化 学习 模型 深度 方式 数据处理 图 计算
33,基于多源遥感数据的森林地上生物量估算研究,估算 数据 精度 森林 进行 模型 生物量 回归 特征 利用
34,基于神经网络量子态的横场Ising模型研究,波函数 计算 方法 量 基态 使用 横场 参数 sr 会
35,人工智能在金融领域的应用研究,金融 人工智能 风险 智能 应用 发展 监管 投资 融合 技术
36,基于时序数据的音乐流媒体用户流失预测,模型 特征 用户 流失 学习 进行 预测 lstm 利用 音乐
37,网络化无创血压智能监测系统的研究与设计,血压 信号 生理 模型 特征 参数 人体 监测 学习 疾病
38,基于心电的车载健康监护系统的设计与实现,分析 进行 驾驶 采集 模块 方法 提取 数据 波 监测
39,基于机器学习的乳腺癌风险分析与预测研究,乳腺癌 患者 模型 数据 预测 大 技术 影响 算法 研究
40,票房预测中的社交网络评论情感挖掘技术研究,电影 情感 影评 模型 票房 特征 主题 观众 预测 使用
41,基于极限学习机理论的多楼层定位算法研究,学习 算法 用于 性能 楼层 训练 rssi elm 阶段 pca
42,异构网络中基于机器学习的网络选择算法,网络 用户 选择 属性 算法 遗传算法 接入 提出 技术 业务
43,不完整数据集下基于极限学习机的室内定位算法研究,算法 训练 位置 定位 学习 理论 指纹 阶段 攻击 函数
44,基于机器学习的无线通信场景分类方法,分类 无线通信 场景 进行 研究 技术 信道 相关 算法 时间
45,基于可穿戴设备的人体姿态识别研究及系统设计,人体 识别 进行 算法 服务 系统 领域 设备 研究 技术
46,基于单个RGB摄像头的虚拟键盘系统研究,进行 虚拟 算法 键盘 用户 指尖 人机交互 利用 手部 研究
47,基于机器学习的手势识别技术研究,手势 识别 模型 进行 技术 研究 实现 卷积 分割 数据
48,基于信任传递的智能推荐方法研究,用户 推荐 信任 方法 物品 问题 系统 冷启动 人们 互联网
49,基于智能终端的行为识别方法研究,识别 检测 活动 数据 准确率 提高 行为 研究 算法 进行
50,基于机器学习的网络舆情情感倾向分析研究,技术 研究 文本 情感 进行 分析 倾向 载体 舆情 词库
51,基于支持向量机的网络流量分类技术研究,分类 流量 提升 方法 训练 利用 支持 机 改进 样本
52,基于机器学习的异常DNS流量检测研究,进行 dns 网络 使用 域名 检测 过滤 ip地址 中 流量
53,组稀疏多任务学习方法及其应用研究,任务 方法 特征 模型 信息 情况 利用 学习 组 化项
54,持续学习框架中主动学习算法研究,数据 学习 算法 标注 分类器 性能 分类 样本 clbss 进行
55,基于机器学习的生物医学命名实体识别的研究,生物医学 实体 出 文献 特征 算法 识别 数据 研究 方法
56,基于机器学习的智能高考志愿推荐系统,考生 专业 方法 推荐 个性化 文本 志愿 词 存在 语义
57,基于脑电的情绪识别研究与系统开发,情绪 模块 特征 提取 研究 脑 识别 脑电 机器 学习
58,基于蜻蜓算法和花朵授粉算法的特征选择方法研究,数据 算法 进行 应用 特征选择 技术 蜻蜓 信息 方法 对比
59,基于机器学习的行人姿态估计及识别的算法研究,行为 分类 视频 特征 识别 模型 人体 完成 应用 算法
60,机器学习方法在上市公司财务舞弊预测问题中的应用,模型 进行 舞弊 公司 财务报表 数据 上市公司 预测 是否 建立
61,基于机器学习的电网调控云防误系统研究与应用,防误 进行 系统 运行 调控 构建 电网 研究 误操作 操作
62,再次剖宫产术中出血危险因素分析及机器学习对术中输血预测研究,出血 临床 中 麻醉 剖宫产 术 病历 患者 预测 输血
63,数据驱动的物联网安全威胁检测与建模,安全 物 设备 知识 数据 研究 联网 检测 流量 分析
64,基于推理机和GBDT的企业赊销信用风险研究,赊销 企业 模型 客户 进行 研究 管理 分析 数据 理论
65,基于大数据平台的恶意IP分类算法研究,算法 售票 分类 数据 策略 恶意 购票 选取 研究 分类器
