id,title,key
1,集成对抗性机器学习及其应用研究,模型 对抗 攻击 对抗性 样本 训练 集成 黑盒 迁移性 学习
2,基于深度学习的遥感图像分类研究,遥感 图像 数据 分类 卷积 算法 模型 优化 学习 应用
3,基于机器视觉的黄瓜叶部病害程度检测系统研究,病害 黄瓜 图像 程度 进行 模型 叶片 参数 研究 问题
4,基于集成学习方法的药物—靶标相互作用预测及应用,药物 靶标 预测 相互作用 学习 方法 蛋白 生物 集成 模型
5,基于稀疏表示的蛋白质相互作用预测及应用,蛋白质 相互作用 方法 表示 预测 稀疏 模型 采用 矩阵 实验
6,基于改进模糊支持向量机的煤与瓦斯突出预测,算法 预测 粒子 突出 模型 影响 向量 模糊 支持 参数
7,考虑竞争和消费意图的电影首映日票房预测方法,预测 票房 电影 首映 消费 意图 方法 竞争 变量 算法
8,高校贫困生管理信息系统设计与研究,扶贫 模块 精准 高校 教育 工作 贫困生 贫困学生 设计 数据
9,基于数据挖掘的电力调度管理系统设计与实现,电力 调度 系统 进行 数据 管理系统 生产 电网 设计 相关
10,基于深度学习的牵引变电所视频图像多目标识别研究,变电所 识别 牵引 图像 目标 视频 研究 学习 状态 迁移
11,基于Faster R-CNN的公路路面病害检测算法的研究,公路 检测 病害 路面 算法 故障 方法 基础设施 问题 研究
12,无人驾驶智能伦理决策研究,决策 研究 进行 困境 场景 特征 驾驶 模型 数据 智能
13,基于Spark框架的并行林业文本分类算法的研究与实现,林业 分类 文本 算法 数据 并行 研究 执行 进行 效率
14,基于深度学习的植物知识图谱的构建,知识 图谱 植物 构建 语义 林业 检索 领域 实体 研究
15,基于自适应神经模糊推理系统的二氧化碳通量模拟研究,函数 通量 模拟 模型 平均值 因子 性能 最优 优于 研究
16,桉树立地质量评价与适宜性研究,评价 桉树 质量 模型 研究 适宜性 算法 数据 系统 进行
17,基于极限学习机的潜热通量插补研究和应用,通量 潜热 极限 学习机 数据 进行 参数 缺失 插补 情况
18,神经网络模型在碳通量数据模拟的研究与应用,通量 数据 模型 特征 模拟 神经网络 进行 技术 结果表明 研究
19,基于多源遥感与机器学习的密云水库水质参数反演研究,水质 反演 参数 水源地 遥感 保护 算法 无人机 模型 程度
20,校园网安全情报管理系统,情报 校园网 进行 检测 实现 记录 获取 问题 敏感 信息
21,X教育公司大数据营销智能推荐系统的研究,营销 用户 数据 购课 官网 课程 推荐 活动 实现 转化率
22,基于少数类过采样的马尾松毛虫发生面积等级预测算法及应用,预测 虫害 毛虫 发生 算法 数据 面积 病虫害 样本 特征
23,基于机器学习的漂浮大型藻类遥感研究,藻类 数据 漂浮 算法 光谱 暴发 模型 重建 阈值 精度
24,基于机器学习算法的日喀则地区泥石流易发性研究,泥石流 易发 因子 分析 进行 发生 研究 具有 环境 神经网络
25,基于机器学习多维度的海面能见度研究,能见度 海面 空间 预测 插值 海域 进行 算法 森林 随机
26,基于近似牛顿法的分布式深度学习,训练 网络 分布式 问题 近似 数据 时间 优化 研究 机器
27,基于深度学习算法的评论情感分析研究,学习 评论 文本 向量 情感 分析 模型 方法 特征 处理
28,量子特征选择与量子感知机算法研究,算法 学习 量子 机器 研究 计算 数据 感知机 量子力学 效率
29,基于集成学习的不平衡数据分类算法应用研究,数据 分类 算法 平衡 样本 模型 采样 进行 气温 问题
30,语音情感的特征提取和分类方法研究,情感 语音 识别 模态 特征 研究 分类 进行 网络 方法
